air_hulu,hujan_hulu,air_lokal,hujan_lokal,status,estimasi_menit
25.68,6.27,31.96,2.99,AMAN,198
37.16,0.0,39.1,4.16,AMAN,205
114.84,32.48,83.53,20.08,SIAGA,66
117.59,32.11,93.77,18.8,SIAGA,60
209.65,56.63,104.19,77.5,BAHAYA,28
15.96,1.59,23.2,0.61,AMAN,239
23.02,3.92,26.4,0.92,AMAN,296
92.48,6.16,46.68,6.41,WASPADA,118
143.06,30.89,79.15,23.6,SIAGA,38
224.0,89.11,104.63,48.56,BAHAYA,3
69.3,7.33,50.02,8.93,WASPADA,154
197.66,54.81,135.95,68.28,BAHAYA,16
199.2,70.65,102.25,36.29,BAHAYA,0
73.9,17.95,48.23,9.69,WASPADA,157
246.47,89.9,132.04,73.7,BAHAYA,23
46.58,1.98,13.3,1.14,AMAN,231
52.47,12.9,53.1,8.0,WASPADA,100
178.2,73.97,135.45,48.82,BAHAYA,28
180.39,47.6,130.87,55.63,BAHAYA,1
115.6,25.61,85.19,29.8,SIAGA,44
172.32,85.44,119.02,61.98,BAHAYA,18
39.54,1.71,15.6,0.2,AMAN,250
213.9,54.09,134.86,49.95,BAHAYA,27
57.13,20.91,66.44,8.32,WASPADA,148
123.35,28.59,73.7,28.56,SIAGA,83
183.87,85.55,144.96,74.47,BAHAYA,22
167.44,92.7,130.72,31.45,BAHAYA,2
87.8,13.9,47.5,12.41,WASPADA,111
79.41,16.73,60.07,11.11,WASPADA,98
62.99,21.8,52.4,14.03,WASPADA,146
129.37,32.61,76.66,26.11,SIAGA,46
110.86,43.46,98.66,28.81,SIAGA,51
95.9,17.17,49.54,9.47,WASPADA,165
128.43,41.75,91.18,23.98,SIAGA,35
47.36,2.8,30.91,3.51,AMAN,223
232.63,94.53,145.75,56.06,BAHAYA,14
85.81,15.86,66.81,9.04,WASPADA,123
51.58,14.15,56.74,8.58,WASPADA,142
169.55,76.97,138.73,41.58,BAHAYA,18
80.58,17.44,69.3,10.65,WASPADA,118
70.58,9.59,41.74,14.66,WASPADA,164
56.34,9.57,48.26,10.94,WASPADA,153
145.96,36.79,87.08,24.56,SIAGA,54
89.24,7.36,44.37,6.41,WASPADA,93
69.25,5.42,55.26,10.26,WASPADA,105
37.54,3.19,11.36,1.87,AMAN,255
37.97,1.0,12.12,3.21,AMAN,183
207.59,67.84,132.52,53.45,BAHAYA,15
96.88,18.99,46.68,6.62,WASPADA,98
117.52,40.24,71.67,27.4,SIAGA,46
214.64,92.32,137.02,70.37,BAHAYA,8
91.9,19.56,52.97,9.35,WASPADA,159
44.37,3.54,32.53,3.77,AMAN,192
233.63,63.09,144.88,50.07,BAHAYA,0
51.04,1.07,28.96,2.24,AMAN,215
225.67,87.73,139.69,35.47,BAHAYA,14
196.25,95.97,118.19,36.74,BAHAYA,4
12.87,0.77,31.03,0.36,AMAN,278
53.5,21.85,51.85,9.34,WASPADA,162
13.29,2.38,26.75,2.12,AMAN,288
155.3,72.46,103.76,36.82,BAHAYA,3
80.15,19.49,51.87,8.57,WASPADA,167
103.54,37.08,99.11,23.32,SIAGA,67
87.22,12.97,67.13,6.41,WASPADA,115
109.81,26.06,84.45,20.95,SIAGA,64
87.58,18.33,45.72,14.2,WASPADA,163
48.05,2.68,11.36,0.13,AMAN,225
65.68,18.68,65.42,13.54,WASPADA,131
160.37,93.16,140.83,79.99,BAHAYA,28
244.83,92.65,113.12,53.08,BAHAYA,3
19.75,6.43,28.54,1.79,AMAN,193
138.22,34.94,95.71,23.73,SIAGA,63
163.18,47.04,138.0,61.4,BAHAYA,20
151.77,66.01,129.91,50.22,BAHAYA,12
76.15,18.17,52.5,11.6,WASPADA,166
17.07,3.3,39.4,2.46,AMAN,219
101.96,24.82,74.71,18.13,SIAGA,38
183.9,93.24,124.22,63.71,BAHAYA,4
109.82,19.7,74.5,22.45,SIAGA,42
219.07,47.79,140.17,61.77,BAHAYA,2
146.44,38.49,76.35,18.93,SIAGA,51
70.52,12.94,62.68,6.33,WASPADA,112
28.44,1.3,13.22,2.24,AMAN,243
73.7,7.6,50.34,7.9,WASPADA,119
228.03,75.29,105.26,57.32,BAHAYA,17
11.61,2.26,20.89,3.23,AMAN,248
53.92,7.32,48.13,7.45,WASPADA,106
94.34,5.76,56.21,9.69,WASPADA,177
50.1,4.64,34.51,1.29,AMAN,200
30.36,0.15,18.4,3.85,AMAN,202
27.46,1.61,13.45,3.05,AMAN,214
201.15,73.89,103.54,47.49,BAHAYA,3
171.78,81.25,138.25,60.19,BAHAYA,13
96.76,17.4,68.99,7.12,WASPADA,155
78.35,17.31,45.05,13.16,WASPADA,107
234.65,81.31,126.63,48.58,BAHAYA,25
118.57,30.07,84.42,20.22,SIAGA,74
91.38,13.09,56.76,14.16,WASPADA,145
14.35,4.58,28.6,2.67,AMAN,287
117.47,27.46,92.57,16.47,SIAGA,63
26.9,3.44,13.32,4.23,AMAN,195
17.03,3.96,31.67,3.6,AMAN,256
173.7,61.18,109.9,75.51,BAHAYA,16
245.05,55.37,129.73,55.79,BAHAYA,17
216.61,98.65,135.65,38.47,BAHAYA,16
39.6,6.31,37.77,2.25,AMAN,193
132.1,27.09,72.59,20.69,SIAGA,77
241.42,62.45,118.0,67.14,BAHAYA,13
60.6,5.7,55.45,9.77,WASPADA,171
131.31,19.65,90.24,18.49,SIAGA,86
11.46,6.0,25.07,2.98,AMAN,188
238.13,57.24,110.34,32.79,BAHAYA,13
86.06,12.65,56.21,9.97,WASPADA,125
57.14,20.69,68.44,9.36,WASPADA,114
100.48,23.66,91.76,25.22,SIAGA,31
80.87,7.35,44.02,13.2,WASPADA,105
59.99,7.89,61.95,13.7,WASPADA,163
111.86,26.16,96.99,16.18,SIAGA,35
196.01,91.57,141.05,47.75,BAHAYA,7
178.07,79.56,121.06,58.05,BAHAYA,12
137.58,26.38,96.19,22.82,SIAGA,82
153.65,60.23,127.54,62.04,BAHAYA,7
95.16,14.19,45.98,8.45,WASPADA,91
32.81,4.73,34.89,1.03,AMAN,181
81.38,11.76,46.09,14.23,WASPADA,127
51.77,6.22,62.4,6.75,WASPADA,143
120.35,29.08,91.85,20.16,SIAGA,63
46.03,3.85,16.45,0.16,AMAN,211
125.77,34.82,80.69,26.79,SIAGA,36
76.86,17.1,53.61,8.22,WASPADA,162
17.59,2.61,20.83,0.46,AMAN,290
79.64,18.91,62.23,13.26,WASPADA,148
22.03,2.65,16.64,4.94,AMAN,293
52.56,16.79,49.62,14.32,WASPADA,176
89.73,18.58,50.25,13.46,WASPADA,93
56.44,6.42,61.19,9.06,WASPADA,154
74.06,17.95,50.24,11.63,WASPADA,168
100.9,44.0,71.62,28.25,SIAGA,61
120.31,33.42,96.34,29.78,SIAGA,75
84.63,8.19,44.2,9.19,WASPADA,115
9.01,1.11,39.63,2.14,AMAN,226
244.92,89.47,105.38,51.46,BAHAYA,25
214.65,57.45,149.57,42.35,BAHAYA,27
200.16,60.24,109.65,41.8,BAHAYA,5
102.9,42.5,96.63,28.99,SIAGA,88
226.57,81.31,108.54,70.98,BAHAYA,6
211.06,78.95,105.48,74.0,BAHAYA,7
31.95,3.13,22.25,1.86,AMAN,211
4.54,0.0,30.5,0.38,AMAN,282
35.16,3.58,20.43,3.39,AMAN,247
43.15,4.58,35.52,4.34,AMAN,265
36.79,3.31,32.58,0.79,AMAN,285
183.61,86.15,108.88,71.08,BAHAYA,24
23.1,6.33,39.44,3.16,AMAN,211
231.23,49.61,138.29,57.52,BAHAYA,27
149.35,21.92,98.18,25.63,SIAGA,34
158.59,76.65,117.95,61.42,BAHAYA,1
50.82,9.13,50.38,10.4,WASPADA,158
66.03,21.44,53.36,10.06,WASPADA,104
63.44,7.0,60.73,11.89,WASPADA,114
123.81,36.01,82.53,19.84,SIAGA,88
18.99,2.74,10.93,3.26,AMAN,224
49.88,1.84,36.06,3.88,AMAN,272
81.46,10.0,41.94,14.29,WASPADA,144
12.84,0.6,30.57,2.15,AMAN,204
32.15,0.0,33.93,1.55,AMAN,234
80.34,9.23,61.15,13.74,WASPADA,159
59.9,10.7,69.61,7.28,WASPADA,134
127.75,21.11,80.47,23.25,SIAGA,35
157.35,68.29,107.5,58.81,BAHAYA,19
63.74,8.0,59.46,12.36,WASPADA,92
96.97,16.29,64.25,9.06,WASPADA,162
120.58,35.65,86.27,26.24,SIAGA,34
229.28,81.75,125.41,58.21,BAHAYA,20
113.51,37.16,73.09,16.43,SIAGA,45
39.65,5.28,22.76,1.73,AMAN,224
23.46,2.77,24.6,4.37,AMAN,288
128.46,43.49,77.11,24.72,SIAGA,67
86.88,18.29,46.21,8.14,WASPADA,176
127.99,24.32,96.25,22.23,SIAGA,60
111.78,29.32,99.11,19.61,SIAGA,68
15.43,2.92,23.61,1.18,AMAN,188
65.42,18.39,53.5,8.24,WASPADA,144
17.66,0.83,32.09,3.32,AMAN,236
209.07,91.86,111.09,36.48,BAHAYA,7
47.66,0.0,13.66,2.26,AMAN,292
53.39,8.76,69.61,14.69,WASPADA,90
47.49,0.71,25.47,2.44,AMAN,260
20.76,3.12,39.1,0.47,AMAN,260
115.69,37.54,95.31,29.22,SIAGA,70
140.88,35.7,71.88,29.03,SIAGA,70
216.07,67.76,132.91,36.22,BAHAYA,19
40.62,2.51,27.01,3.69,AMAN,285
133.34,40.58,93.11,27.17,SIAGA,55
202.69,48.64,116.9,48.96,BAHAYA,11
77.09,10.84,51.82,8.05,WASPADA,96
80.22,12.46,52.01,13.77,WASPADA,136
71.18,12.17,52.57,11.22,WASPADA,137
140.2,38.82,98.71,16.26,SIAGA,41
238.54,49.11,146.79,48.23,BAHAYA,2
68.75,11.46,64.29,10.85,WASPADA,117
64.62,9.79,44.53,7.63,WASPADA,150
41.86,0.42,27.02,1.28,AMAN,295
128.08,22.1,89.36,29.32,SIAGA,65
61.49,10.1,58.72,9.7,WASPADA,164
60.92,17.35,48.97,13.4,WASPADA,127
130.68,32.52,88.01,18.35,SIAGA,73
104.3,19.51,89.62,24.5,SIAGA,62
126.54,30.05,99.65,17.91,SIAGA,71
223.46,85.83,149.57,37.29,BAHAYA,3
61.68,6.04,43.48,14.05,WASPADA,107
68.98,4.64,56.05,6.61,WASPADA,161
95.86,18.03,56.46,8.92,WASPADA,119
40.57,0.95,11.8,2.81,AMAN,294
21.32,0.86,12.9,2.25,AMAN,270
93.01,19.19,47.8,9.59,WASPADA,103
77.79,15.6,43.58,12.8,WASPADA,101
131.14,22.63,79.79,19.68,SIAGA,51
71.08,12.26,58.42,10.64,WASPADA,171
46.35,0.61,37.92,0.58,AMAN,278
140.56,39.81,93.91,20.27,SIAGA,34
84.99,12.07,69.29,11.77,WASPADA,163
129.78,37.87,76.07,23.04,SIAGA,53
104.16,22.35,74.92,29.48,SIAGA,62
23.82,0.61,23.19,0.53,AMAN,256
83.23,7.62,42.78,13.03,WASPADA,130
99.96,8.41,45.13,7.09,WASPADA,116
56.43,10.9,69.9,13.33,WASPADA,144
125.56,29.47,74.79,28.41,SIAGA,56
190.56,86.8,136.95,68.7,BAHAYA,0
49.46,9.59,63.05,7.23,WASPADA,137
30.81,0.94,35.33,0.49,AMAN,238
224.71,72.02,119.42,50.33,BAHAYA,13
49.91,3.2,19.46,3.44,AMAN,232
53.57,19.82,54.38,11.73,WASPADA,148
86.12,7.14,56.03,7.35,WASPADA,155
9.66,2.37,31.49,0.36,AMAN,188
183.32,65.96,138.96,63.41,BAHAYA,5
178.76,49.1,105.03,78.43,BAHAYA,8
70.85,12.13,44.52,11.54,WASPADA,158
158.79,101.0,140.14,45.35,BAHAYA,28
135.04,37.53,90.04,17.79,SIAGA,49
73.06,14.33,68.35,8.17,WASPADA,100
82.23,10.43,64.66,13.75,WASPADA,165
223.15,71.62,142.26,66.7,BAHAYA,22
205.96,98.2,146.93,33.12,BAHAYA,4
48.46,2.68,25.18,4.2,AMAN,267
33.56,2.5,26.95,3.44,AMAN,284
62.06,11.83,41.27,8.22,WASPADA,154
21.15,1.86,31.99,3.08,AMAN,202
74.53,4.41,63.07,6.32,WASPADA,156
20.27,0.93,36.3,4.98,AMAN,224
97.34,13.44,52.35,9.71,WASPADA,151
17.57,5.95,24.43,3.21,AMAN,187
206.49,80.56,134.15,70.44,BAHAYA,7
105.0,24.62,80.69,26.99,SIAGA,71
123.77,22.49,80.52,22.08,SIAGA,35
90.1,20.85,68.06,11.78,WASPADA,127
53.67,12.26,65.35,9.45,WASPADA,140
24.84,0.0,10.79,0.12,AMAN,279
21.03,5.31,17.78,2.15,AMAN,284
42.04,4.95,24.49,0.67,AMAN,189
195.24,84.53,138.51,38.79,BAHAYA,17
213.84,96.42,104.38,33.8,BAHAYA,8
144.09,26.97,78.89,26.63,SIAGA,56
14.35,4.11,14.18,2.66,AMAN,229
101.8,36.02,98.94,23.84,SIAGA,85
21.14,1.62,39.44,1.28,AMAN,258
72.67,18.8,58.65,9.15,WASPADA,100
21.11,5.29,26.84,2.62,AMAN,193
154.53,84.14,127.63,35.0,BAHAYA,13
49.38,7.34,30.07,2.31,AMAN,229
102.48,34.2,94.39,22.43,SIAGA,33
64.48,7.93,50.58,12.81,WASPADA,136
45.03,3.25,17.16,2.26,AMAN,298
144.49,35.65,85.44,17.48,SIAGA,68
41.93,6.88,16.11,2.62,AMAN,214
83.31,15.9,52.48,14.24,WASPADA,137
88.5,9.66,65.86,14.16,WASPADA,114
144.87,38.82,75.41,22.16,SIAGA,66
243.77,68.18,149.22,63.73,BAHAYA,18
52.1,13.31,56.29,12.47,WASPADA,169
168.79,89.41,141.13,57.5,BAHAYA,20
229.84,70.04,118.53,55.22,BAHAYA,24
219.83,87.56,105.93,42.75,BAHAYA,4
226.14,81.13,131.43,48.27,BAHAYA,24
34.36,1.42,30.29,1.63,AMAN,262
231.37,60.06,132.5,65.01,BAHAYA,14
54.44,11.26,59.94,14.44,WASPADA,167
36.27,0.0,37.22,3.35,AMAN,247
123.09,40.34,86.85,21.33,SIAGA,87
104.34,38.37,97.62,19.92,SIAGA,80
42.38,3.23,10.54,4.81,AMAN,267
114.24,41.42,74.26,25.85,SIAGA,61
154.85,70.02,115.76,60.32,BAHAYA,8
103.1,42.42,95.72,25.35,SIAGA,65
227.83,47.93,129.56,79.78,BAHAYA,24
235.74,79.1,106.63,35.6,BAHAYA,26
97.76,13.48,56.01,9.87,WASPADA,118
214.69,95.31,122.73,60.75,BAHAYA,18
175.57,73.88,106.11,49.84,BAHAYA,14
78.58,14.43,55.68,11.71,WASPADA,96
73.6,3.54,45.06,8.49,WASPADA,176
169.64,77.85,114.75,41.14,BAHAYA,14
138.38,34.44,85.87,20.11,SIAGA,84
85.99,7.5,51.01,10.57,WASPADA,167
251.37,52.83,114.46,50.33,BAHAYA,12
134.78,35.81,79.97,27.53,SIAGA,86
174.42,45.9,130.59,64.64,BAHAYA,3
24.2,0.0,22.57,3.76,AMAN,188
48.19,4.48,30.36,1.81,AMAN,251
90.95,16.3,44.5,14.12,WASPADA,95
46.68,13.01,49.56,10.37,WASPADA,141
83.75,16.51,65.52,12.23,WASPADA,128
17.7,2.91,23.39,3.99,AMAN,278
76.8,10.58,58.43,12.35,WASPADA,151
122.22,24.18,96.81,20.84,SIAGA,39
84.62,13.19,43.08,9.69,WASPADA,117
118.75,24.51,99.65,22.36,SIAGA,70
102.13,32.58,98.96,21.38,SIAGA,32
166.61,47.6,138.05,53.47,BAHAYA,8
144.26,36.14,94.97,29.78,SIAGA,47
29.35,2.08,26.24,0.77,AMAN,246
233.11,69.08,115.81,43.71,BAHAYA,5
20.38,3.17,26.73,1.74,AMAN,249
215.75,75.34,120.69,79.7,BAHAYA,25
127.6,26.19,82.46,16.55,SIAGA,58
49.33,3.96,31.66,2.67,AMAN,284
163.05,87.13,114.51,73.98,BAHAYA,27
146.8,31.62,96.04,24.24,SIAGA,52
91.31,10.91,55.83,10.43,WASPADA,141
226.2,78.67,147.85,40.82,BAHAYA,3
98.33,18.79,42.81,13.95,WASPADA,129
144.46,22.07,84.83,25.63,SIAGA,72
179.3,66.66,140.42,44.66,BAHAYA,6
154.42,86.98,141.87,67.28,BAHAYA,4
34.29,3.79,35.38,3.07,AMAN,190
116.24,31.09,72.91,20.88,SIAGA,36
12.67,1.44,33.84,3.54,AMAN,186
23.89,0.87,18.43,4.02,AMAN,291
112.62,34.24,77.55,24.97,SIAGA,87
40.41,2.47,36.66,2.52,AMAN,233
55.11,17.61,48.02,12.43,WASPADA,163
200.76,53.1,138.99,44.3,BAHAYA,14
211.76,48.96,137.68,46.56,BAHAYA,0
66.6,14.6,42.82,13.55,WASPADA,90
25.22,0.0,20.81,1.35,AMAN,281
95.37,11.2,67.39,9.4,WASPADA,175
31.06,0.71,28.98,3.52,AMAN,180
35.11,4.36,32.83,4.75,AMAN,264
132.23,36.48,72.4,21.04,SIAGA,86
72.29,11.1,51.69,9.33,WASPADA,94
140.6,41.96,77.15,25.2,SIAGA,57
34.94,4.73,18.86,0.68,AMAN,258
80.4,9.41,61.68,7.79,WASPADA,169
53.28,6.07,55.96,8.41,WASPADA,164
31.06,1.96,25.93,2.98,AMAN,181
77.53,15.52,50.04,12.97,WASPADA,158
165.88,45.8,138.74,70.55,BAHAYA,3
202.69,64.87,119.22,31.07,BAHAYA,8
136.82,20.16,97.06,26.96,SIAGA,76
180.55,52.04,112.18,43.08,BAHAYA,14
13.66,4.87,38.28,3.93,AMAN,298
161.69,66.58,112.04,40.6,BAHAYA,4
126.41,25.8,94.52,24.9,SIAGA,52
67.11,19.07,49.42,10.23,WASPADA,169
108.31,22.07,89.3,22.27,SIAGA,37
112.4,35.07,90.71,17.07,SIAGA,46
78.9,12.62,42.27,7.49,WASPADA,129
170.96,98.57,110.65,77.62,BAHAYA,28
73.78,13.44,43.12,11.6,WASPADA,177
44.71,5.45,38.8,2.61,AMAN,297
29.66,1.79,17.42,3.2,AMAN,259
37.74,3.4,10.36,0.05,AMAN,222
116.71,40.62,92.14,17.34,SIAGA,55
131.84,25.83,79.38,21.57,SIAGA,84
192.83,85.84,146.0,77.6,BAHAYA,16
113.33,33.11,81.4,25.19,SIAGA,44
107.97,24.91,72.04,18.45,SIAGA,81
32.73,3.97,32.76,1.41,AMAN,222
39.84,0.84,24.93,1.02,AMAN,250
37.69,1.33,12.13,0.35,AMAN,292
40.05,4.81,19.97,3.47,AMAN,272
238.58,74.38,114.84,51.84,BAHAYA,1
149.17,66.96,126.6,33.68,BAHAYA,28
182.79,56.72,101.07,66.74,BAHAYA,28
89.51,18.75,53.26,8.73,WASPADA,118
167.49,68.16,145.2,70.53,BAHAYA,28
210.67,80.84,104.84,57.68,BAHAYA,20
211.42,95.92,103.08,44.0,BAHAYA,17
228.85,53.03,126.18,55.94,BAHAYA,10
198.81,94.81,135.04,66.72,BAHAYA,24
63.21,12.24,50.73,14.81,WASPADA,166
34.22,6.01,24.89,1.9,AMAN,199
119.68,22.29,95.33,16.16,SIAGA,71
112.53,36.93,94.7,23.65,SIAGA,87
219.64,92.16,109.78,70.2,BAHAYA,16
146.05,25.7,79.98,20.06,SIAGA,81
113.45,35.04,87.58,27.66,SIAGA,83
19.93,3.83,20.59,3.11,AMAN,220
156.69,88.08,115.0,52.21,BAHAYA,19
24.06,2.73,29.25,3.36,AMAN,255
84.48,7.54,49.06,8.49,WASPADA,128
93.95,6.19,52.7,12.64,WASPADA,152
28.28,0.0,16.16,2.42,AMAN,212
97.09,14.04,43.23,6.68,WASPADA,174
213.28,81.2,132.78,44.1,BAHAYA,0
132.27,29.02,78.86,24.37,SIAGA,81
111.04,34.72,91.33,25.52,SIAGA,54
64.81,10.77,68.77,9.59,WASPADA,164
149.66,23.73,71.24,22.07,SIAGA,35
198.34,62.04,122.29,66.45,BAHAYA,0
215.03,59.92,135.99,35.48,BAHAYA,5
10.38,0.17,16.43,1.35,AMAN,209
87.92,15.17,60.51,6.73,WASPADA,174
143.5,44.72,86.78,18.8,SIAGA,66
198.33,50.12,119.18,76.12,BAHAYA,16
65.71,19.57,60.33,13.09,WASPADA,130
219.64,66.43,122.68,62.82,BAHAYA,27
50.84,12.38,55.58,6.51,WASPADA,133
134.46,25.69,75.63,18.25,SIAGA,34
91.49,16.16,60.87,6.99,WASPADA,115
124.57,35.36,81.35,20.95,SIAGA,78
45.98,3.49,19.8,1.77,AMAN,240
206.22,73.42,110.5,73.08,BAHAYA,19
89.06,10.77,58.71,7.44,WASPADA,149
19.46,3.2,14.96,0.01,AMAN,266
57.13,5.28,41.55,7.49,WASPADA,169
55.8,8.22,56.06,11.47,WASPADA,111
15.4,0.0,38.8,3.08,AMAN,246
207.09,83.25,135.41,39.41,BAHAYA,14
79.7,12.84,44.35,11.45,WASPADA,100
30.97,1.42,21.76,4.48,AMAN,204
105.55,41.52,73.0,22.64,SIAGA,63
64.31,6.65,61.98,10.82,WASPADA,164
197.02,63.92,139.79,53.11,BAHAYA,5
188.71,90.8,145.19,40.97,BAHAYA,1
207.63,97.54,104.26,62.77,BAHAYA,2
24.2,2.78,26.77,1.61,AMAN,206
159.43,64.25,123.75,66.41,BAHAYA,19
32.85,0.65,34.13,3.86,AMAN,245
43.58,5.06,25.54,0.7,AMAN,260
60.68,10.89,66.82,12.75,WASPADA,170
87.58,18.12,57.79,11.69,WASPADA,103
66.4,8.6,50.1,8.17,WASPADA,109
31.56,2.49,12.31,3.48,AMAN,225
38.29,3.02,30.77,1.32,AMAN,292
116.33,23.73,91.14,19.06,SIAGA,65
229.31,90.17,138.28,40.2,BAHAYA,2
194.68,45.33,113.72,32.65,BAHAYA,25
104.59,36.57,80.37,28.57,SIAGA,82
51.74,5.05,35.35,1.25,AMAN,249
238.98,98.98,112.83,32.98,BAHAYA,11
34.2,3.56,29.63,1.16,AMAN,181
90.77,7.04,65.28,11.58,WASPADA,140
207.06,79.67,149.54,68.08,BAHAYA,12
58.54,14.57,67.92,14.36,WASPADA,120
148.31,44.73,89.84,27.26,SIAGA,72
196.03,80.52,134.2,49.28,BAHAYA,27
137.93,40.26,89.81,19.85,SIAGA,39
18.48,5.52,23.66,3.34,AMAN,280
31.66,3.75,34.08,4.8,AMAN,244
11.8,4.53,18.31,4.61,AMAN,249
9.25,1.09,22.7,0.42,AMAN,252
45.24,4.54,15.9,3.69,AMAN,214
28.09,3.12,11.87,1.68,AMAN,188
100.23,25.36,77.65,22.57,SIAGA,45
40.01,0.0,18.98,1.16,AMAN,195
86.23,6.31,47.1,13.28,WASPADA,103
15.3,0.87,24.54,1.51,AMAN,247
77.34,13.04,45.18,11.62,WASPADA,114
77.87,9.81,64.85,6.51,WASPADA,127
36.03,3.54,33.31,4.31,AMAN,217
99.35,21.01,51.77,7.76,WASPADA,133
197.52,88.32,118.71,73.13,BAHAYA,11
143.12,26.46,76.7,29.32,SIAGA,40
197.24,81.42,112.26,58.08,BAHAYA,10
206.15,57.25,114.65,41.72,BAHAYA,5
95.1,21.37,57.57,7.29,WASPADA,123
102.51,35.38,95.51,27.14,SIAGA,40
173.34,93.76,113.23,43.9,BAHAYA,0
81.66,15.14,45.41,10.12,WASPADA,121
95.94,7.9,49.45,7.87,WASPADA,111
72.53,18.73,45.48,10.39,WASPADA,128
49.13,1.19,10.91,1.02,AMAN,220
140.41,35.82,85.54,16.7,SIAGA,32
234.7,53.34,102.22,53.0,BAHAYA,6
19.9,1.41,21.39,4.01,AMAN,227
87.27,9.07,60.64,11.09,WASPADA,172
101.45,40.75,86.22,26.85,SIAGA,43
145.18,38.75,98.06,19.72,SIAGA,66
94.75,21.47,66.66,12.65,WASPADA,114
97.46,8.49,50.86,6.71,WASPADA,129
234.43,94.79,110.1,49.25,BAHAYA,26
63.56,18.99,53.95,10.51,WASPADA,111
135.44,41.71,87.76,28.66,SIAGA,78
23.34,5.81,36.87,4.55,AMAN,217
170.75,55.11,117.76,52.07,BAHAYA,24
124.02,27.55,85.29,20.2,SIAGA,65
108.07,34.42,97.17,20.82,SIAGA,73
233.44,77.36,133.19,75.02,BAHAYA,11
109.91,35.75,84.46,17.66,SIAGA,87
48.23,16.1,56.44,6.93,WASPADA,105
42.76,2.8,39.51,1.3,AMAN,296
152.44,49.83,134.91,53.44,BAHAYA,6
204.97,63.3,141.35,71.21,BAHAYA,13
93.56,10.5,47.06,6.76,WASPADA,131
107.17,29.56,94.44,27.53,SIAGA,52
243.26,51.64,146.75,64.51,BAHAYA,15
70.12,8.51,60.04,14.74,WASPADA,140
26.17,0.0,28.38,4.69,AMAN,259
124.55,29.61,95.18,27.41,SIAGA,66
55.77,9.95,52.98,12.08,WASPADA,148
106.12,25.25,94.99,16.59,SIAGA,54
204.17,87.64,147.95,41.8,BAHAYA,25
28.07,4.59,25.94,3.39,AMAN,231
60.01,17.34,56.67,13.6,WASPADA,128
15.5,5.36,24.52,2.57,AMAN,217
15.34,0.32,10.19,4.89,AMAN,295
22.07,4.64,34.16,4.73,AMAN,228
50.72,0.0,28.11,3.3,AMAN,262
111.16,26.56,86.85,21.84,SIAGA,39
135.28,43.07,73.44,21.5,SIAGA,35
20.58,0.0,35.05,4.87,AMAN,196
241.82,68.54,103.48,32.93,BAHAYA,16
75.25,8.4,63.83,8.76,WASPADA,93
246.8,76.56,114.49,65.76,BAHAYA,7
203.67,47.66,121.88,71.79,BAHAYA,23
44.39,3.49,12.86,2.25,AMAN,220
50.42,13.06,53.82,9.01,WASPADA,125
205.61,87.47,138.25,38.54,BAHAYA,4
118.65,38.23,72.64,16.49,SIAGA,53
131.26,25.09,96.7,28.54,SIAGA,47
16.86,2.87,34.78,3.37,AMAN,278
138.67,31.32,90.47,19.79,SIAGA,34
125.47,38.97,79.39,22.55,SIAGA,66
186.02,77.28,142.68,40.87,BAHAYA,27
203.68,87.08,101.79,71.1,BAHAYA,1
225.64,61.01,143.41,36.04,BAHAYA,3
80.01,13.53,58.49,12.14,WASPADA,141
136.64,27.5,91.08,19.27,SIAGA,66
51.82,9.71,58.57,13.65,WASPADA,94
197.91,95.68,117.27,53.8,BAHAYA,0
54.88,12.96,53.37,10.93,WASPADA,105
46.68,0.25,36.71,2.88,AMAN,247
14.7,1.9,20.23,4.59,AMAN,228
24.69,4.37,30.93,4.5,AMAN,275
