air_hulu_cm,hujan_hulu_mm,jungkit_hulu,air_lokal_cm,hujan_lokal_mm,jungkit_lokal,status,estimasi_menit
114.00,5.89,21,75.67,14.06,50,AMAN,230
243.10,52.19,186,209.37,55.54,198,BAHAYA,0
263.64,4.19,15,263.64,0.00,0,BAHAYA,0
255.30,0.00,0,250.40,0.00,0,BAHAYA,0
270.00,2.10,7,268.50,0.00,0,BAHAYA,0
210.40,10.50,37,215.30,0.00,0,BAHAYA,0
198.12,49.71,177,196.37,29.76,106,SIAGA,17
180.50,2.50,8,175.20,0.00,0,SIAGA,45
68.51,12.75,45,82.68,5.08,18,AMAN,310
120.40,0.00,0,135.50,0.00,0,WASPADA,140
44.33,0.04,0,32.43,1.09,3,AMAN,271
25.00,0.00,0,30.00,0.00,0,AMAN,350
250.89,98.56,352,207.59,78.11,279,BAHAYA,0
260.15,0.00,0,265.80,0.00,0,BAHAYA,0
230.45,5.20,18,245.60,0.00,0,BAHAYA,0
215.10,0.00,0,225.30,0.00,0,BAHAYA,0
30.50,0.00,0,35.20,0.00,0,AMAN,400
110.20,10.50,37,125.40,15.20,54,WASPADA,160
165.30,30.40,108,170.80,25.60,91,SIAGA,85
220.60,0.00,0,230.10,0.00,0,BAHAYA,0
245.50,0.00,0,250.20,0.00,0,BAHAYA,0
140.20,5.50,19,145.80,0.00,0,WASPADA,110
185.40,0.00,0,190.50,0.00,0,SIAGA,30
260.40,80.50,288,255.60,90.20,322,BAHAYA,0
268.90,12.40,44,265.30,0.00,0,BAHAYA,0
15.40,0.00,0,20.10,0.00,0,AMAN,420
135.60,40.50,144,142.30,35.20,125,WASPADA,105
175.80,50.20,179,180.40,45.60,163,SIAGA,60
210.30,0.00,0,218.90,0.00,0,BAHAYA,0
265.50,5.60,20,268.40,0.00,0,BAHAYA,0
90.50,15.20,54,95.60,10.40,37,AMAN,280
195.40,25.40,90,198.50,20.10,71,SIAGA,25
235.60,60.50,216,240.20,55.80,199,BAHAYA,0
255.80,0.00,0,258.40,0.00,0,BAHAYA,0
105.40,0.00,0,115.60,0.00,0,WASPADA,170
160.20,0.00,0,165.80,0.00,0,SIAGA,95
225.40,0.00,0,235.60,0.00,0,BAHAYA,0
248.90,0.00,0,252.30,0.00,0,BAHAYA,0
55.40,5.20,18,60.50,0.00,0,AMAN,340
145.60,20.50,73,148.90,15.60,55,WASPADA,115
188.40,10.20,36,192.50,5.40,19,SIAGA,40
262.30,0.00,0,264.80,0.00,0,BAHAYA,0
269.50,0.00,0,269.80,0.00,0,BAHAYA,0
40.20,0.00,0,45.60,0.00,0,AMAN,380
125.80,0.00,0,130.40,0.00,0,WASPADA,150
170.50,0.00,0,178.60,0.00,0,SIAGA,70
218.40,0.00,0,222.50,0.00,0,BAHAYA,0
258.90,0.00,0,260.40,0.00,0,BAHAYA,0
85.60,0.00,0,92.30,0.00,0,AMAN,290
155.40,0.00,0,158.90,0.00,0,SIAGA,98
192.50,0.00,0,195.60,0.00,0,SIAGA,35
242.60,0.00,0,248.50,0.00,0,BAHAYA,0
267.40,0.00,0,268.90,0.00,0,BAHAYA,0
20.50,15.40,55,25.60,10.20,36,AMAN,410
118.90,25.60,91,122.40,20.50,73,WASPADA,155
182.40,35.80,128,186.50,30.20,108,SIAGA,50
232.50,45.60,163,238.90,40.50,144,BAHAYA,0
252.40,0.00,0,255.60,0.00,0,BAHAYA,0
75.60,0.00,0,80.40,0.00,0,AMAN,300
138.50,0.00,0,142.60,0.00,0,WASPADA,120
178.90,0.00,0,182.40,0.00,0,SIAGA,55
212.50,0.00,0,215.60,0.00,0,BAHAYA,0
261.40,0.00,0,263.80,0.00,0,BAHAYA,0
50.20,30.50,109,55.80,25.40,90,AMAN,330
132.40,40.20,143,138.50,35.60,127,WASPADA,130
168.50,50.60,181,172.40,45.20,161,SIAGA,80
228.40,70.50,252,232.50,65.80,235,BAHAYA,0
246.50,0.00,0,249.80,0.00,0,BAHAYA,0
95.40,0.00,0,98.50,0.00,0,AMAN,260
152.60,0.00,0,155.40,0.00,0,SIAGA,99
198.50,0.00,0,199.80,0.00,0,SIAGA,12
238.40,0.00,0,242.50,0.00,0,BAHAYA,0
266.80,0.00,0,267.50,0.00,0,BAHAYA,0
65.40,10.20,36,70.50,5.60,20,AMAN,320
148.50,20.40,73,152.60,15.20,54,SIAGA,99
186.40,30.50,109,190.20,25.80,92,SIAGA,45
254.60,0.00,0,257.40,0.00,0,BAHAYA,0
264.50,0.00,0,266.20,0.00,0,BAHAYA,0
82.50,0.00,0,88.40,0.00,0,AMAN,285
128.40,0.00,0,134.50,0.00,0,WASPADA,145
162.50,0.00,0,168.40,0.00,0,SIAGA,90
208.40,0.00,0,212.50,0.00,0,BAHAYA,0
259.50,0.00,0,262.40,0.00,0,BAHAYA,0
122.40,5.50,19,126.80,2.40,8,WASPADA,155
172.60,15.40,55,176.50,10.20,36,SIAGA,65
205.40,25.60,91,209.80,20.40,73,BAHAYA,0
240.50,0.00,0,244.60,0.00,0,BAHAYA,0
268.40,0.00,0,269.20,0.00,0,BAHAYA,0
35.60,0.00,0,40.20,0.00,0,AMAN,390
115.40,0.00,0,120.50,0.00,0,WASPADA,165
