air_hulu_cm,hujan_hulu_mm,jungkit_hulu,air_lokal_cm,hujan_lokal_mm,jungkit_lokal,status,estimasi_menit
114.0,5.89,7,75.67,14.06,18,WASPADA,153
134.81,17.06,21,105.46,11.5,14,WASPADA,152
44.33,0.04,0,32.43,1.09,1,AMAN,271
46.54,2.31,3,48.84,4.6,6,AMAN,305
243.1,52.19,65,209.37,55.54,69,BAHAYA,0
198.12,49.71,62,196.37,29.76,37,SIAGA,17
199.37,47.24,59,170.42,48.31,60,SIAGA,11
68.51,12.75,16,82.68,5.08,6,WASPADA,102
250.89,98.56,123,207.59,78.11,98,BAHAYA,0
53.56,3.45,4,42.07,0.2,0,AMAN,235
264.69,54.69,68,205.68,74.31,93,BAHAYA,0
3.22,2.32,3,63.59,3.25,4,AMAN,279
66.49,1.38,2,25.88,3.11,4,AMAN,360
80.38,14.38,18,71.99,13.57,17,WASPADA,146
143.13,23.77,30,167.58,48.9,61,SIAGA,52
246.98,55.28,69,238.86,52.26,65,BAHAYA,0
37.41,3.04,4,15.11,1.24,2,AMAN,242
265.07,61.57,77,231.12,93.42,117,BAHAYA,0
84.18,17.87,22,70.7,19.96,25,WASPADA,72
235.75,72.74,91,247.68,75.78,95,BAHAYA,0
94.92,14.39,18,134.59,12.33,15,WASPADA,141
173.32,20.37,25,183.27,37.95,47,SIAGA,36
236.3,75.78,95,269.47,95.97,120,BAHAYA,0
257.94,91.45,114,249.56,99.56,124,BAHAYA,0
168.83,22.02,28,183.53,32.16,40,SIAGA,51
206.53,53.5,67,208.93,50.47,63,BAHAYA,0
97.11,8.73,11,85.0,9.95,12,WASPADA,173
137.58,34.69,43,158.13,32.46,41,SIAGA,55
155.1,37.33,47,166.87,45.98,57,SIAGA,11
223.59,96.53,121,227.79,83.81,105,BAHAYA,0
178.11,23.37,29,170.0,20.08,25,SIAGA,37
238.59,61.81,77,251.27,88.0,110,BAHAYA,0
113.18,12.22,15,77.18,18.47,23,WASPADA,134
263.49,87.16,109,260.1,52.41,66,BAHAYA,0
154.46,35.29,44,198.2,44.76,56,SIAGA,27
201.26,41.62,52,175.81,44.16,55,SIAGA,55
214.66,62.48,78,210.84,50.1,63,BAHAYA,0
55.39,0.41,1,8.71,4.65,6,AMAN,316
133.48,7.34,9,121.19,19.83,25,WASPADA,94
227.09,84.85,106,222.67,85.12,106,BAHAYA,0
43.58,1.44,2,51.27,0.55,1,AMAN,311
58.08,3.44,4,56.18,4.18,5,AMAN,353
11.19,3.09,4,11.23,3.53,4,AMAN,300
191.26,43.63,55,171.84,28.5,36,SIAGA,24
259.31,70.92,89,214.67,60.18,75,BAHAYA,0
78.3,8.06,10,98.4,6.37,8,WASPADA,109
54.5,0.64,1,61.93,0.63,1,AMAN,233
107.87,11.06,14,68.66,12.96,16,WASPADA,102
228.72,70.5,88,241.32,91.99,115,BAHAYA,0
128.0,11.04,14,128.91,18.27,23,WASPADA,146
174.08,36.47,46,182.05,38.96,49,SIAGA,54
214.45,70.86,89,231.02,58.01,73,BAHAYA,0
89.87,7.9,10,105.51,6.26,8,WASPADA,163
183.12,40.48,51,190.29,27.26,34,SIAGA,33
230.5,95.38,119,253.62,62.46,78,BAHAYA,0
172.83,25.05,31,162.65,26.56,33,SIAGA,58
97.99,5.12,6,77.0,14.46,18,WASPADA,109
173.47,32.75,41,138.07,26.24,33,SIAGA,27
132.84,6.17,8,68.35,5.04,6,WASPADA,71
18.83,0.56,1,11.62,3.04,4,AMAN,244
52.91,1.68,2,44.13,0.91,1,AMAN,230
197.27,31.1,39,164.26,20.46,26,SIAGA,40
160.74,45.06,56,167.28,31.11,39,SIAGA,15
75.89,5.28,7,106.63,18.71,23,WASPADA,97
25.63,2.88,4,24.64,0.38,0,AMAN,344
6.83,3.36,4,0.56,4.89,6,AMAN,233
192.53,30.07,38,182.28,49.36,62,SIAGA,21
199.93,22.87,29,153.31,29.53,37,SIAGA,48
196.4,40.65,51,165.2,21.75,27,SIAGA,41
268.93,80.15,100,222.32,91.34,114,BAHAYA,0
222.73,58.31,73,269.72,60.84,76,BAHAYA,0
129.51,5.63,7,86.76,16.1,20,WASPADA,107
187.6,28.94,36,178.51,23.16,29,SIAGA,51
74.95,14.48,18,71.26,6.43,8,WASPADA,95
41.02,3.13,4,32.45,3.92,5,AMAN,263
70.76,15.4,19,112.92,17.32,22,WASPADA,163
28.32,3.71,5,20.3,4.24,5,AMAN,280
265.76,84.55,106,212.21,69.34,87,BAHAYA,0
76.68,7.74,10,113.3,9.18,11,WASPADA,84
247.4,79.65,100,209.38,78.97,99,BAHAYA,0
215.02,53.38,67,268.04,75.94,95,BAHAYA,0
141.63,26.47,33,139.41,38.69,48,SIAGA,39
205.09,61.5,77,246.66,60.66,76,BAHAYA,0
251.65,77.03,96,268.38,81.87,102,BAHAYA,0
198.82,48.95,61,178.18,20.15,25,SIAGA,48
39.06,2.72,3,66.98,0.83,1,AMAN,320
144.42,37.15,46,163.0,33.02,41,SIAGA,15
153.92,38.97,49,151.3,31.21,39,SIAGA,58
112.35,13.93,17,122.6,8.97,11,WASPADA,63
253.41,93.32,117,209.06,99.67,125,BAHAYA,0
140.05,39.51,49,187.53,24.56,31,SIAGA,19
218.86,88.59,111,252.07,54.32,68,BAHAYA,0
142.09,44.01,55,175.36,39.88,50,SIAGA,49
199.05,45.25,57,146.21,45.39,57,SIAGA,18
253.87,57.36,72,267.84,98.65,123,BAHAYA,0
15.8,0.61,1,24.89,3.68,5,AMAN,292
47.31,0.09,0,20.7,4.58,6,AMAN,278
45.55,2.81,4,49.57,1.19,1,AMAN,278
234.2,78.91,99,239.36,51.8,65,BAHAYA,0
148.69,37.92,47,155.51,39.6,50,SIAGA,47
45.36,0.97,1,56.14,4.29,5,AMAN,337
234.68,61.76,77,238.87,93.46,117,BAHAYA,0
41.48,2.5,3,12.5,3.65,5,AMAN,265
10.54,4.34,5,10.75,1.23,2,AMAN,192
206.87,54.54,68,232.77,51.63,65,BAHAYA,0
2.2,1.48,2,42.61,2.97,4,AMAN,247
138.27,40.42,51,199.99,34.0,42,SIAGA,28
213.15,64.82,81,232.0,57.17,71,BAHAYA,0
46.48,1.66,2,11.17,3.65,5,AMAN,290
79.12,17.09,21,69.65,13.88,17,WASPADA,80
5.65,2.66,3,26.76,2.24,3,AMAN,280
224.31,96.37,120,253.21,68.29,85,BAHAYA,0
71.71,15.09,19,90.19,7.55,9,WASPADA,91
15.19,0.23,0,44.89,3.23,4,AMAN,359
189.25,25.32,32,201.37,42.52,53,SIAGA,57
47.1,0.52,1,3.54,1.13,1,AMAN,203
36.01,1.67,2,61.63,1.99,2,AMAN,309
172.52,20.22,25,170.35,20.77,26,SIAGA,12
146.93,35.77,45,178.62,35.35,44,SIAGA,46
183.84,24.92,31,175.16,33.16,41,SIAGA,21
32.45,3.8,5,46.48,3.64,5,AMAN,359
68.35,16.76,21,118.99,13.31,17,WASPADA,113
129.22,16.84,21,131.84,9.62,12,WASPADA,95
55.75,0.8,1,34.0,4.09,5,AMAN,218
96.23,16.52,21,117.42,11.27,14,WASPADA,153
216.43,78.68,98,210.32,97.8,122,BAHAYA,0
225.8,79.16,99,266.01,73.35,92,BAHAYA,0
119.29,11.55,14,78.65,15.94,20,WASPADA,119
265.6,61.02,76,264.4,94.31,118,BAHAYA,0
27.88,0.62,1,34.43,3.49,4,AMAN,320
219.21,54.99,69,264.04,84.4,106,BAHAYA,0
85.4,17.28,22,132.97,19.75,25,WASPADA,144
88.16,15.32,19,115.45,6.02,8,WASPADA,81
246.7,97.86,122,233.8,94.51,118,BAHAYA,0
90.99,6.85,9,116.85,13.38,17,WASPADA,97
222.73,98.18,123,228.8,92.65,116,BAHAYA,0
30.19,4.25,5,8.65,1.24,2,AMAN,230
264.34,91.85,115,251.34,71.86,90,BAHAYA,0
75.07,14.37,18,98.59,9.43,12,WASPADA,167
37.14,4.77,6,40.99,3.69,5,AMAN,255
57.01,2.02,3,62.69,4.44,6,AMAN,343
263.13,74.56,93,234.05,99.82,125,BAHAYA,0
82.9,10.31,13,102.79,6.58,8,WASPADA,87
107.55,14.77,18,97.03,9.89,12,WASPADA,123
121.96,7.42,9,118.93,13.58,17,WASPADA,175
136.9,29.96,37,141.39,33.96,42,SIAGA,43
153.51,31.3,39,172.59,26.96,34,SIAGA,22
11.83,2.56,3,14.77,1.15,1,AMAN,182
180.71,43.18,54,173.34,27.11,34,SIAGA,32
74.29,15.1,19,113.06,19.55,24,WASPADA,155
216.7,94.44,118,220.11,77.23,97,BAHAYA,0
186.18,27.64,35,175.31,40.45,51,SIAGA,33
124.22,12.25,15,77.74,10.74,13,WASPADA,63
112.42,8.26,10,68.13,7.07,9,WASPADA,162
101.37,17.3,22,114.18,5.62,7,WASPADA,105
149.29,21.56,27,153.07,43.59,54,SIAGA,29
76.77,9.88,12,132.98,16.6,21,WASPADA,106
69.06,5.44,7,73.17,10.34,13,WASPADA,93
58.09,4.05,5,61.19,4.05,5,AMAN,314
38.45,0.25,0,26.32,0.2,0,AMAN,269
243.72,60.79,76,222.79,83.89,105,BAHAYA,0
261.18,78.94,99,228.4,78.47,98,BAHAYA,0
103.01,5.0,6,71.66,11.25,14,WASPADA,69
136.67,26.02,33,164.87,26.11,33,SIAGA,31
79.27,5.63,7,126.92,11.29,14,WASPADA,90
12.01,3.59,4,53.6,4.31,5,AMAN,326
149.17,49.24,62,180.9,39.51,49,SIAGA,38
114.98,8.04,10,113.57,13.81,17,WASPADA,87
193.31,44.17,55,149.59,37.56,47,SIAGA,29
165.17,27.04,34,157.84,46.51,58,SIAGA,38
105.37,19.91,25,116.95,14.93,19,WASPADA,89
